Title,title,Journal,DOI,doi,Is_Development_Likely,Abstract,abstract
Soma Ca<sup>2+</sup> is decoupled from daily synaptic activity and neuropeptide release in Drosophila clock neurons.,Soma Ca<sup>2+</sup> is decoupled from daily synaptic activity and neuropeptide release in Drosophila clock neurons.,Current biology : CB,https://doi.org/10.1016/j.cub.2025.12.010,https://doi.org/10.1016/j.cub.2025.12.010,✅,"Drosophila sLNv clock neurons release the co-packaged neuropeptides PDF and sNPF to regulate circadian behaviors and nighttime sleep.<sup>1</sup><sup>,</sup><sup>2</sup><sup>,</sup><sup>3</sup><sup>,</sup><sup>4</sup> Many studies of membrane potential and cytoplasmic Ca<sup>2+</sup> at the sLNv soma emphasized elevations late at night or in the very early morning,<sup>5</sup><sup>,</sup><sup>6</sup><sup>,</sup><sup>7</sup><sup>,</sup><sup>8</sup><sup>,</sup><sup>9</sup> although action potential activity and synaptic release were not quantified. Recently, exocytosis of neuropeptide-containing dense-core vesicles (DCVs) at sLNv terminals was found to peak hours later at midmorning.<sup>10</sup> To resolve the basis of the timing mismatch between somatic measurements and terminal exocytosis, recently developed probes were used to measure daily rhythms in sLNv neuron synaptic Ca<sup>2+</sup> and sNPF release. Remarkably, at midmorning after soma Ca<sup>2+</sup> has dropped, both Ca<sup>2+</sup> spiking and clock-dependent native neuropeptide release peak in the distal terminals of the protocerebrum. Furthermore, Ca<sup>2+</sup> in the soma and terminals differ in dependence on Ca<sup>2+</sup> influx. Finally, synaptic DCV exocytosis requires Ca<sup>2+</sup> spike activity at terminals that is not evident at the soma. These results lead to two striking conclusions. First, soma Ca<sup>2+</sup> recording, which is the focus of many circuit studies, is not indicative of presynaptic Ca<sup>2+</sup> and neuropeptide release in distal sLNv terminals. Second, daily clock- and activity-dependent sLNv terminal neuropeptide release occurs many hours in advance of known sLNv neuropeptide effects on nighttime sleep and morning behavior.","Drosophila sLNv clock neurons release the co-packaged neuropeptides PDF and sNPF to regulate circadian behaviors and nighttime sleep.<sup>1</sup><sup>,</sup><sup>2</sup><sup>,</sup><sup>3</sup><sup>,</sup><sup>4</sup> Many studies of membrane potential and cytoplasmic Ca<sup>2+</sup> at the sLNv soma emphasized elevations late at night or in the very early morning,<sup>5</sup><sup>,</sup><sup>6</sup><sup>,</sup><sup>7</sup><sup>,</sup><sup>8</sup><sup>,</sup><sup>9</sup> although action potential activity and synaptic release were not quantified. Recently, exocytosis of neuropeptide-containing dense-core vesicles (DCVs) at sLNv terminals was found to peak hours later at midmorning.<sup>10</sup> To resolve the basis of the timing mismatch between somatic measurements and terminal exocytosis, recently developed probes were used to measure daily rhythms in sLNv neuron synaptic Ca<sup>2+</sup> and sNPF release. Remarkably, at midmorning after soma Ca<sup>2+</sup> has dropped, both Ca<sup>2+</sup> spiking and clock-dependent native neuropeptide release peak in the distal terminals of the protocerebrum. Furthermore, Ca<sup>2+</sup> in the soma and terminals differ in dependence on Ca<sup>2+</sup> influx. Finally, synaptic DCV exocytosis requires Ca<sup>2+</sup> spike activity at terminals that is not evident at the soma. These results lead to two striking conclusions. First, soma Ca<sup>2+</sup> recording, which is the focus of many circuit studies, is not indicative of presynaptic Ca<sup>2+</sup> and neuropeptide release in distal sLNv terminals. Second, daily clock- and activity-dependent sLNv terminal neuropeptide release occurs many hours in advance of known sLNv neuropeptide effects on nighttime sleep and morning behavior."
Transposon sequencing reveals <i>Burkholderia</i> gene fitness in a spaceflight-relevant plant-pathogen interaction.,Transposon sequencing reveals <i>Burkholderia</i> gene fitness in a spaceflight-relevant plant-pathogen interaction.,Applied and environmental microbiology,https://doi.org/10.1128/aem.01941-25,https://doi.org/10.1128/aem.01941-25,✅,"The spaceflight environment imparts unique selective pressures on the plants and microbes of plant growth chambers on the International Space Station (ISS), which generally manifests through genetic signatures associated with a heightened response to stress. Terrestrially, a baseline understanding of the gene fitness response for any plant growth-promoting microbe when in a tripartite relationship with host and pathogen is currently unknown and is important to characterize before closed-environment spaceflight implementation. To that end, this study evaluated the behavior of an ISS plant habitat isolate of <i>Burkholderia contaminans</i> as tomato seeds transitioned to seedlings and assessed gene fitness during challenge with <i>Fusarium oxysporum</i> f. sp. <i>lycopersici</i> (FOL), the causal agent of Fusarium wilt. Using a seed film delivery method vetted for spaceflight, <i>B. contaminans</i> was applied to <i>Solanum lycopersicum</i> cv. Red Robin seeds. Green fluorescent protein (GFP)-tagged <i>B. contaminans</i> was primarily found to localize at the shoot-root junction and was detected on shoots. Upon FOL challenge, <i>B. contaminans</i> population levels remained stable, and despite harboring antifungal and plant growth-promoting capacity, these properties were not conferred in response to FOL in the tissue culture environment. To probe mechanisms underlying the bacterial-fungal interaction between <i>B. contaminans</i> and FOL in the tomato root zone, a genome-wide transposon mutant library was developed for the <i>B. contaminans</i> isolate. Transposon sequencing (Tn-Seq) analysis revealed that the type II secretion system (T2SS) was critical for root zone establishment, whereas a Nudix hydrolase was specifically important for responding to FOL infection and provided further confirmation that antifungal and siderophore-producing gene clusters were not.IMPORTANCEThis study is the first to evaluate the genetic fitness of a <i>Burkholderia contaminans</i> International Space Station (ISS) isolate in the plant root zone in association with the obligate pathogen <i>Fusarium oxysporum</i> f. sp. <i>lycopersici</i> (FOL). This isolate of <i>B. contaminans</i> establishes in the tomato root zone, does not confer plant growth promotion in tissue culture, but is persistent in the tomato root zone when challenged with FOL through stress-adaptation mechanisms rather than direct antifungal antagonism. The response of <i>B. contaminans</i> in the host root zone when in the presence of the pathogen suggests the microbe is primed to counter stress, which may further confer an advantage in the spaceflight environment.","The spaceflight environment imparts unique selective pressures on the plants and microbes of plant growth chambers on the International Space Station (ISS), which generally manifests through genetic signatures associated with a heightened response to stress. Terrestrially, a baseline understanding of the gene fitness response for any plant growth-promoting microbe when in a tripartite relationship with host and pathogen is currently unknown and is important to characterize before closed-environment spaceflight implementation. To that end, this study evaluated the behavior of an ISS plant habitat isolate of <i>Burkholderia contaminans</i> as tomato seeds transitioned to seedlings and assessed gene fitness during challenge with <i>Fusarium oxysporum</i> f. sp. <i>lycopersici</i> (FOL), the causal agent of Fusarium wilt. Using a seed film delivery method vetted for spaceflight, <i>B. contaminans</i> was applied to <i>Solanum lycopersicum</i> cv. Red Robin seeds. Green fluorescent protein (GFP)-tagged <i>B. contaminans</i> was primarily found to localize at the shoot-root junction and was detected on shoots. Upon FOL challenge, <i>B. contaminans</i> population levels remained stable, and despite harboring antifungal and plant growth-promoting capacity, these properties were not conferred in response to FOL in the tissue culture environment. To probe mechanisms underlying the bacterial-fungal interaction between <i>B. contaminans</i> and FOL in the tomato root zone, a genome-wide transposon mutant library was developed for the <i>B. contaminans</i> isolate. Transposon sequencing (Tn-Seq) analysis revealed that the type II secretion system (T2SS) was critical for root zone establishment, whereas a Nudix hydrolase was specifically important for responding to FOL infection and provided further confirmation that antifungal and siderophore-producing gene clusters were not.IMPORTANCEThis study is the first to evaluate the genetic fitness of a <i>Burkholderia contaminans</i> International Space Station (ISS) isolate in the plant root zone in association with the obligate pathogen <i>Fusarium oxysporum</i> f. sp. <i>lycopersici</i> (FOL). This isolate of <i>B. contaminans</i> establishes in the tomato root zone, does not confer plant growth promotion in tissue culture, but is persistent in the tomato root zone when challenged with FOL through stress-adaptation mechanisms rather than direct antifungal antagonism. The response of <i>B. contaminans</i> in the host root zone when in the presence of the pathogen suggests the microbe is primed to counter stress, which may further confer an advantage in the spaceflight environment."
The newly developed porcine-origin parainfluenza virus PIV5-JS17 serves as an exogenous gene delivery system for swine.,The newly developed porcine-origin parainfluenza virus PIV5-JS17 serves as an exogenous gene delivery system for swine.,Journal of virology,https://doi.org/10.1128/jvi.01858-25,https://doi.org/10.1128/jvi.01858-25,✅,"Emerging and re-emerging swine viral infectious diseases impose substantial economic burdens. Additionally, swine, which frequently interact with humans, may facilitate virus evolution, posing a risk to public health security. Consequently, there is a pressing need to develop safe, effective, and rapid vaccine platforms, with vector vaccine being a viable option. In this study, we utilized the enhanced green fluorescent protein (eGFP) as an exogenous reporter to investigate the intergenic regions of the PIV5-JS17 strain for expressing exogenous proteins. These regions included N-P, P-M, M-F, F-SH, SH-HN, and HN-L. Our findings revealed that exogenous gene expression varied at different positions, with the expression cassette containing the non-coding sequence within the P-M intergenic region achieving the highest eGFP fluorescence intensity. Then, we successfully established a porcine infection model through oral administration of the recombinant virus, identified the target organs infected, and verified the safety of the viral vector in swine. Furthermore, using porcine deltacoronavirus (PDCoV)-S protein as a model antigen, it was demonstrated that the recombinant virus triggered a robust humoral and cellular immune responses. In conclusion, we have developed a novel oral gene delivery system for swine, providing insights and guidance for the design of vector vaccines based on the newly discovered porcine PIV5, the selection of appropriate exogenous gene insertion sites, and vaccine delivery strategies.IMPORTANCEThe research presented in this paper hinges on the fortunate isolation of the PIV5-JS17 strain from the intestines of pigs. Given the pressing demand for oral vaccines, the emergence of this novel PIV5 strain capable of infecting both the respiratory and intestinal tracts has sparked our interest in developing it as a vector vaccine. Utilizing eGFP as a model exogenous gene, our findings reveal that the P/M intergenic region serves as the optimal site for the insertion of exogenous genes. Using the PDCoV-S protein as a model antigen, the study shows that this novel porcine-derived PIV5 virus vector presents innovative prevention methods and gene delivery strategies for addressing porcine infectious diseases.","Emerging and re-emerging swine viral infectious diseases impose substantial economic burdens. Additionally, swine, which frequently interact with humans, may facilitate virus evolution, posing a risk to public health security. Consequently, there is a pressing need to develop safe, effective, and rapid vaccine platforms, with vector vaccine being a viable option. In this study, we utilized the enhanced green fluorescent protein (eGFP) as an exogenous reporter to investigate the intergenic regions of the PIV5-JS17 strain for expressing exogenous proteins. These regions included N-P, P-M, M-F, F-SH, SH-HN, and HN-L. Our findings revealed that exogenous gene expression varied at different positions, with the expression cassette containing the non-coding sequence within the P-M intergenic region achieving the highest eGFP fluorescence intensity. Then, we successfully established a porcine infection model through oral administration of the recombinant virus, identified the target organs infected, and verified the safety of the viral vector in swine. Furthermore, using porcine deltacoronavirus (PDCoV)-S protein as a model antigen, it was demonstrated that the recombinant virus triggered a robust humoral and cellular immune responses. In conclusion, we have developed a novel oral gene delivery system for swine, providing insights and guidance for the design of vector vaccines based on the newly discovered porcine PIV5, the selection of appropriate exogenous gene insertion sites, and vaccine delivery strategies.IMPORTANCEThe research presented in this paper hinges on the fortunate isolation of the PIV5-JS17 strain from the intestines of pigs. Given the pressing demand for oral vaccines, the emergence of this novel PIV5 strain capable of infecting both the respiratory and intestinal tracts has sparked our interest in developing it as a vector vaccine. Utilizing eGFP as a model exogenous gene, our findings reveal that the P/M intergenic region serves as the optimal site for the insertion of exogenous genes. Using the PDCoV-S protein as a model antigen, the study shows that this novel porcine-derived PIV5 virus vector presents innovative prevention methods and gene delivery strategies for addressing porcine infectious diseases."
Efficient Fluorescent Labeling of Human Trophoblast Stem Cells via a CRISPR/Cas9-Mediated Knock-In Approach in a Safe Harbor Locus.,Efficient Fluorescent Labeling of Human Trophoblast Stem Cells via a CRISPR/Cas9-Mediated Knock-In Approach in a Safe Harbor Locus.,Bio-protocol,https://doi.org/10.21769/BioProtoc.5561,https://doi.org/10.21769/BioProtoc.5561,✅,"Labeling cells with reporter genes allows researchers to visually identify specific cells and observe how they interact with each other in dynamic biological systems. Even though various labeling methods are now available, a specific description of gene knock-in labeling methods for human trophoblast stem cells (hTSCs) has not been reported. Here, we present a streamlined protocol for labeling hTSCs with the green fluorescent protein (GFP) reporter gene via CRISPR/Cas9-mediated knock-in of the gene into the adeno-associated virus site 1 (AAVS1) safe harbor locus. A commonly used hTSC cell line, CT29, was transfected with a dual plasmid system encoding the Cas9 endonuclease and an AAVS1-targeted guide RNA in one plasmid and a donor plasmid encoding a puromycin resistance gene and GFP reporter gene flanked by AAVS1 homology arms. Puromycin-resistant clonal cells were isolated, and AAVS1 integration was confirmed via PCR and sequencing of the PCR products. The labeled cells are proliferative and can give rise to extravillous cytotrophoblast cells (EVT) and the syncytiotrophoblast (ST). To our knowledge, this is the first report using the CRISPR/Cas9 system for AAVS1 integration of a reporter gene in human trophoblast stem cells. It provides an efficient tool to facilitate the study of human trophoblast development and function in co-culture systems and will be highly useful in developing clinical gene therapy-related plasmid constructs. Key features • First report to constitutively express a fluorescent label in hTSCs by applying a CRISPR/Cas9 knock-in approach and an AAVS1 safe harbor locus. • Provides an efficient tool to facilitate the study of human trophoblast development and function, particularly in heterologous co-culture systems. • Offers an approach for developing clinical gene therapy-related plasmid constructs that allow insertion of therapeutic genes without associated disruption of essential genes. • Widely applicable approach to label other human cell lines.","Labeling cells with reporter genes allows researchers to visually identify specific cells and observe how they interact with each other in dynamic biological systems. Even though various labeling methods are now available, a specific description of gene knock-in labeling methods for human trophoblast stem cells (hTSCs) has not been reported. Here, we present a streamlined protocol for labeling hTSCs with the green fluorescent protein (GFP) reporter gene via CRISPR/Cas9-mediated knock-in of the gene into the adeno-associated virus site 1 (AAVS1) safe harbor locus. A commonly used hTSC cell line, CT29, was transfected with a dual plasmid system encoding the Cas9 endonuclease and an AAVS1-targeted guide RNA in one plasmid and a donor plasmid encoding a puromycin resistance gene and GFP reporter gene flanked by AAVS1 homology arms. Puromycin-resistant clonal cells were isolated, and AAVS1 integration was confirmed via PCR and sequencing of the PCR products. The labeled cells are proliferative and can give rise to extravillous cytotrophoblast cells (EVT) and the syncytiotrophoblast (ST). To our knowledge, this is the first report using the CRISPR/Cas9 system for AAVS1 integration of a reporter gene in human trophoblast stem cells. It provides an efficient tool to facilitate the study of human trophoblast development and function in co-culture systems and will be highly useful in developing clinical gene therapy-related plasmid constructs. Key features • First report to constitutively express a fluorescent label in hTSCs by applying a CRISPR/Cas9 knock-in approach and an AAVS1 safe harbor locus. • Provides an efficient tool to facilitate the study of human trophoblast development and function, particularly in heterologous co-culture systems. • Offers an approach for developing clinical gene therapy-related plasmid constructs that allow insertion of therapeutic genes without associated disruption of essential genes. • Widely applicable approach to label other human cell lines."
From crisis to clarity: tackling the sampling strategy challenge in airport wastewater surveillance during COVID-19.,From crisis to clarity: tackling the sampling strategy challenge in airport wastewater surveillance during COVID-19.,Water research,https://doi.org/10.1016/j.watres.2025.125229,https://doi.org/10.1016/j.watres.2025.125229,✅,"Wastewater surveillance at airports has gained interest as a tool for early pathogen detection, but current evidence remains largely feasibility-focused and provides limited guidance on where sampling efforts should be prioritised. In this study, we go beyond feasibility assessments and present a comparative framework for evaluating wastewater-based genomic surveillance at airports. From January to April 2023, wastewater samples were collected at Frankfurt and Berlin airports from single aircraft, lavatory trucks, a sewer combining aircraft and airfield wastewater, and an airport terminal. Viral RNA was concentrated and extracted, followed by short-read amplicon sequencing, digital PCR quantification, and variant annotation with SnpEff. Sequencing success and genome coverage varied by sample type. Aircraft wastewater showed variable coverage (median 20.2-52.1%) due to low SARS-CoV-2 concentrations, while coverage from airport terminal wastewater was consistently high (median: 99.3%). Terminal wastewater exhibited the highest mutation diversity, with 143-286 mutations per sample (grab vs composite). Notably, >95% of clinically known mutations were detected in the wastewater at least one week before clinical reporting, and over 9350 previously unreported mutations were identified-highlighting the early-warning potential of airport wastewater surveillance. These results demonstrate that differences in wastewater matrix and sampling location strongly influence genomic information yield. Wastewater surveillance can complement clinical surveillance and should be considered as part of broader global health monitoring. The framework established here offers replicable guidance for other transportation hubs and public health authorities seeking to strengthen early detection capabilities and pandemic preparedness.","Wastewater surveillance at airports has gained interest as a tool for early pathogen detection, but current evidence remains largely feasibility-focused and provides limited guidance on where sampling efforts should be prioritised. In this study, we go beyond feasibility assessments and present a comparative framework for evaluating wastewater-based genomic surveillance at airports. From January to April 2023, wastewater samples were collected at Frankfurt and Berlin airports from single aircraft, lavatory trucks, a sewer combining aircraft and airfield wastewater, and an airport terminal. Viral RNA was concentrated and extracted, followed by short-read amplicon sequencing, digital PCR quantification, and variant annotation with SnpEff. Sequencing success and genome coverage varied by sample type. Aircraft wastewater showed variable coverage (median 20.2-52.1%) due to low SARS-CoV-2 concentrations, while coverage from airport terminal wastewater was consistently high (median: 99.3%). Terminal wastewater exhibited the highest mutation diversity, with 143-286 mutations per sample (grab vs composite). Notably, >95% of clinically known mutations were detected in the wastewater at least one week before clinical reporting, and over 9350 previously unreported mutations were identified-highlighting the early-warning potential of airport wastewater surveillance. These results demonstrate that differences in wastewater matrix and sampling location strongly influence genomic information yield. Wastewater surveillance can complement clinical surveillance and should be considered as part of broader global health monitoring. The framework established here offers replicable guidance for other transportation hubs and public health authorities seeking to strengthen early detection capabilities and pandemic preparedness."
A Novel Biosensor for Ferrous Iron Developed via CoBiSe: A Computational Method for Rapid Biosensor Design.,A Novel Biosensor for Ferrous Iron Developed via CoBiSe: A Computational Method for Rapid Biosensor Design.,ACS sensors,https://doi.org/10.1021/acssensors.5c02481,https://doi.org/10.1021/acssensors.5c02481,✅,"Genetically encoded biosensors enable the monitoring of metabolite dynamics in living organisms. We present CoBiSe, a <u>co</u>mputational <u>bi</u>o<u>se</u>nsor design approach using Constraint Network Analysis to identify optimal insertion sites for reporter modules in molecular recognition elements (MREs). Applied to the iron-binding protein DtxR from <i>Corynebacterium glutamicum</i>, CoBiSe identified a flexible connective loop (residues 138-150) for inserting the reporter module, resulting in IronSenseR, a novel ratiometric biosensor for ferrous iron (Fe<sup>2+</sup>). IronSenseR demonstrates high specificity for Fe<sup>2+</sup> with dissociation constants of 1.78 ± 0.03 (FeSO<sub>4</sub>) and 2.90 ± 0.12 μM (FeCl<sub>2</sub>), while showing no binding to Fe<sup>3+</sup> and other divalent cations. <i>In vivo</i> assessment in <i>Escherichia coli</i>, <i>Pseudomonas putida</i>, and <i>Corynebacterium glutamicum</i> confirmed IronSenseR's capability to detect changes in the intracellular iron pool. The creation of IronSenseR underlines that by reducing search space and eliminating labor-intensive screening, CoBiSe streamlines biosensor development and enables precise creation of next-generation biosensors for diverse metabolites.","Genetically encoded biosensors enable the monitoring of metabolite dynamics in living organisms. We present CoBiSe, a <u>co</u>mputational <u>bi</u>o<u>se</u>nsor design approach using Constraint Network Analysis to identify optimal insertion sites for reporter modules in molecular recognition elements (MREs). Applied to the iron-binding protein DtxR from <i>Corynebacterium glutamicum</i>, CoBiSe identified a flexible connective loop (residues 138-150) for inserting the reporter module, resulting in IronSenseR, a novel ratiometric biosensor for ferrous iron (Fe<sup>2+</sup>). IronSenseR demonstrates high specificity for Fe<sup>2+</sup> with dissociation constants of 1.78 ± 0.03 (FeSO<sub>4</sub>) and 2.90 ± 0.12 μM (FeCl<sub>2</sub>), while showing no binding to Fe<sup>3+</sup> and other divalent cations. <i>In vivo</i> assessment in <i>Escherichia coli</i>, <i>Pseudomonas putida</i>, and <i>Corynebacterium glutamicum</i> confirmed IronSenseR's capability to detect changes in the intracellular iron pool. The creation of IronSenseR underlines that by reducing search space and eliminating labor-intensive screening, CoBiSe streamlines biosensor development and enables precise creation of next-generation biosensors for diverse metabolites."
Genetic identification of mouse trigeminal afferents responsible for mechanical allodynia.,Genetic identification of mouse trigeminal afferents responsible for mechanical allodynia.,Cell reports,https://doi.org/10.1016/j.celrep.2025.116803,https://doi.org/10.1016/j.celrep.2025.116803,,"The identities of primary afferents transducing mechanical allodynia following nerve injury remain unclear. We genetically label brushing-activated (BA) trigeminal ganglia (TG) neurons using Fos<sup>CreER</sup> mice with trigeminal nerve injury (TNI). BA TG neurons are largely medium-sized. Many express neurofilament200 and Ntrk3, markers for low-threshold mechanoreceptors, with lower co-localization with nociceptor markers such as Calca or Trpv1. Chemogenetic inhibition of BA TG neurons reduces mechanical allodynia, whereas their chemogenetic activation increases spontaneous face wiping after TNI. Brushing-induced conditional knockdown (bcKD) of Piezo2 from BA TG afferents reduces punctate and dynamic mechanical allodynia. In vivo TG GCaMP Ca<sup>2+</sup> imaging shows that Piezo2 bcKD reduces not only hypersensitivity to low-force mechanical stimulation, mostly among medium-sized neurons, but also, unexpectedly, TNI-induced spontaneous activity. Therefore, Fos is useful for genetic labeling and manipulation of BA TG neurons. Furthermore, innocuous mechanical stimuli activate multiple TG afferent subtypes after TNI, possibly accounting for the complexity of resulting painful symptoms.","The identities of primary afferents transducing mechanical allodynia following nerve injury remain unclear. We genetically label brushing-activated (BA) trigeminal ganglia (TG) neurons using Fos<sup>CreER</sup> mice with trigeminal nerve injury (TNI). BA TG neurons are largely medium-sized. Many express neurofilament200 and Ntrk3, markers for low-threshold mechanoreceptors, with lower co-localization with nociceptor markers such as Calca or Trpv1. Chemogenetic inhibition of BA TG neurons reduces mechanical allodynia, whereas their chemogenetic activation increases spontaneous face wiping after TNI. Brushing-induced conditional knockdown (bcKD) of Piezo2 from BA TG afferents reduces punctate and dynamic mechanical allodynia. In vivo TG GCaMP Ca<sup>2+</sup> imaging shows that Piezo2 bcKD reduces not only hypersensitivity to low-force mechanical stimulation, mostly among medium-sized neurons, but also, unexpectedly, TNI-induced spontaneous activity. Therefore, Fos is useful for genetic labeling and manipulation of BA TG neurons. Furthermore, innocuous mechanical stimuli activate multiple TG afferent subtypes after TNI, possibly accounting for the complexity of resulting painful symptoms."
CaMPARI2 Enables Stimulus-Locked Whole-Brain Activity Mapping at Cellular Resolution in Unrestrained Larval Zebrafish.,CaMPARI2 Enables Stimulus-Locked Whole-Brain Activity Mapping at Cellular Resolution in Unrestrained Larval Zebrafish.,bioRxiv : the preprint server for biology,https://doi.org/10.64898/2025.12.28.696792,https://doi.org/10.64898/2025.12.28.696792,✅,"Visualizing active neurons and circuits in vivo is critical for investigating the neural activity that underlies behavior. While several established methodologies are available to achieve this end in larval zebrafish, they are limited by the scale of tissue visualization, temporal resolution, need to restrain larvae, and/or accessibility of necessary instruments. Here, we establish a pipeline for the visualization and quantification of spatiotemporally precise whole-brain neural activity in larval zebrafish using CaMPARI2, a genetically encoded calcium indicator. Using temporally specific photoconverting UV light exposures, we capture whole-brain ""snapshots"" of neural activity time-locked to stimuli during unrestrained larval behavior. We optimize experimental conditions for establishing sub-second neuronal activity changes across acoustically-evoked behavioral paradigms spanning minutes to hours. We then leverage this system to pinpoint brain-wide neural activity changes during nonassociative habituation learning, observing distinct activity signatures in the subpallium, preoptic area, and habenulae that are altered through pharmacological disruption of habituation learning. This approach effectively complements the temporal precision achievable through post hoc activity detection methods and expands the accessibility of large-scale behavioral circuit dissection beyond highly specialized real-time volumetric imaging equipment.","Visualizing active neurons and circuits in vivo is critical for investigating the neural activity that underlies behavior. While several established methodologies are available to achieve this end in larval zebrafish, they are limited by the scale of tissue visualization, temporal resolution, need to restrain larvae, and/or accessibility of necessary instruments. Here, we establish a pipeline for the visualization and quantification of spatiotemporally precise whole-brain neural activity in larval zebrafish using CaMPARI2, a genetically encoded calcium indicator. Using temporally specific photoconverting UV light exposures, we capture whole-brain ""snapshots"" of neural activity time-locked to stimuli during unrestrained larval behavior. We optimize experimental conditions for establishing sub-second neuronal activity changes across acoustically-evoked behavioral paradigms spanning minutes to hours. We then leverage this system to pinpoint brain-wide neural activity changes during nonassociative habituation learning, observing distinct activity signatures in the subpallium, preoptic area, and habenulae that are altered through pharmacological disruption of habituation learning. This approach effectively complements the temporal precision achievable through post hoc activity detection methods and expands the accessibility of large-scale behavioral circuit dissection beyond highly specialized real-time volumetric imaging equipment."
Effectiveness of home safety training and balance exercises in reducing fear of falling among older women: A quasi-experimental study in southern Iran.,Effectiveness of home safety training and balance exercises in reducing fear of falling among older women: A quasi-experimental study in southern Iran.,Preventive medicine reports,https://doi.org/10.1016/j.pmedr.2025.103351,https://doi.org/10.1016/j.pmedr.2025.103351,,"This study examined whether a combined home-safety training and balance-exercise program could reduce fear of falling and improve ergonomic risks. This quasi-experimental study included 336 Iranian women aged ≥60 who were non-randomly assigned to four groups based on the pre-existing type of anti-slip flooring in their homes. Over a two-month period in 2024, participants received home-safety training focused on practical ergonomic modifications, along with supervised balance and strength exercises. Outcomes included the Fear of Falling questionnaire, Berg Balance Scale, Timed Up and Go test, and an ergonomic home-risk checklist. The intervention significantly reduced fear of falling and improved home ergonomic safety (<i>p</i> = 0.01). No significant changes were observed in balance performance (Berg: <i>p</i> = 0.82; TUG: <i>p</i> = 0.34) or fall frequency (<i>p</i> = 0.46). Among flooring types, the Sonia group showed the largest reduction in fear of falling (<i>p</i> = 0.02), while the Selda group showed a small decrease in fall frequency (p = 0.01). Ergonomic improvements were most evident in bathrooms and kitchens, where grab bars and non-slip surfaces were implemented. Home safety training combined with targeted ergonomic changes effectively reduced fear of falling and improved home safety.","This study examined whether a combined home-safety training and balance-exercise program could reduce fear of falling and improve ergonomic risks. This quasi-experimental study included 336 Iranian women aged ≥60 who were non-randomly assigned to four groups based on the pre-existing type of anti-slip flooring in their homes. Over a two-month period in 2024, participants received home-safety training focused on practical ergonomic modifications, along with supervised balance and strength exercises. Outcomes included the Fear of Falling questionnaire, Berg Balance Scale, Timed Up and Go test, and an ergonomic home-risk checklist. The intervention significantly reduced fear of falling and improved home ergonomic safety (<i>p</i> = 0.01). No significant changes were observed in balance performance (Berg: <i>p</i> = 0.82; TUG: <i>p</i> = 0.34) or fall frequency (<i>p</i> = 0.46). Among flooring types, the Sonia group showed the largest reduction in fear of falling (<i>p</i> = 0.02), while the Selda group showed a small decrease in fall frequency (p = 0.01). Ergonomic improvements were most evident in bathrooms and kitchens, where grab bars and non-slip surfaces were implemented. Home safety training combined with targeted ergonomic changes effectively reduced fear of falling and improved home safety."
In vivo chemogenetic generation of intraneuronal H<sub>2</sub>O<sub>2</sub>.,In vivo chemogenetic generation of intraneuronal H<sub>2</sub>O<sub>2</sub>.,Free radical biology & medicine,https://doi.org/10.1016/j.freeradbiomed.2026.01.006,https://doi.org/10.1016/j.freeradbiomed.2026.01.006,,"Recombinant D-amino acid oxidase (DAAO) is extensively employed for controlled generation of intracellular H<sub>2</sub>O<sub>2</sub>. This chemogenetic tool offers unique opportunities for dissecting the contribution of oxidative stress in the occurrence of aging-related degenerative disorders. However, the employment of this tool to induce oxidative stress in the brain in vivo has not yet been tested. Here, we combine viral vector-mediated expression of DAAO and HyPer7, a genetically encoded fluorescent biosensor for H<sub>2</sub>O<sub>2</sub>, in hippocampal neurons with real-time in vivo fiber photometry to examine chemogenetic production of H<sub>2</sub>O<sub>2</sub> upon delivery of D-norvaline via intraperitoneal injections or drinking water. Observed changes in the HyPer7 ratiometric signal in response to D-norvaline delivery through both routes confirmed controlled generation of intraneuronal H<sub>2</sub>O<sub>2</sub>in vivo. Raman microspectroscopy revealed a decrease of electron transport chain loading with electrons upon in vivo chemogenetic generation of intraneuronal H<sub>2</sub>O<sub>2</sub>. In sum, our findings enable us to suggest that the DAAO-based chemogenetic tool combined with delivery of D-norvaline via either intraperitoneal injections or drinking water is suitable for induction of chronic oxidative stress in the brain in vivo.","Recombinant D-amino acid oxidase (DAAO) is extensively employed for controlled generation of intracellular H<sub>2</sub>O<sub>2</sub>. This chemogenetic tool offers unique opportunities for dissecting the contribution of oxidative stress in the occurrence of aging-related degenerative disorders. However, the employment of this tool to induce oxidative stress in the brain in vivo has not yet been tested. Here, we combine viral vector-mediated expression of DAAO and HyPer7, a genetically encoded fluorescent biosensor for H<sub>2</sub>O<sub>2</sub>, in hippocampal neurons with real-time in vivo fiber photometry to examine chemogenetic production of H<sub>2</sub>O<sub>2</sub> upon delivery of D-norvaline via intraperitoneal injections or drinking water. Observed changes in the HyPer7 ratiometric signal in response to D-norvaline delivery through both routes confirmed controlled generation of intraneuronal H<sub>2</sub>O<sub>2</sub>in vivo. Raman microspectroscopy revealed a decrease of electron transport chain loading with electrons upon in vivo chemogenetic generation of intraneuronal H<sub>2</sub>O<sub>2</sub>. In sum, our findings enable us to suggest that the DAAO-based chemogenetic tool combined with delivery of D-norvaline via either intraperitoneal injections or drinking water is suitable for induction of chronic oxidative stress in the brain in vivo."
